millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z
73004,180,198,148,262,271,-4.2,-5.22,8.71
73103,179,198,147,260,271,-4.2,-5.18,8.63
73203,179,198,148,262,270,-4.04,-5.22,8.36
73403,179,198,148,261,271,-4.28,-5.41,8.71
73503,178,198,149,263,271,-4.08,-5.26,8.43
73603,180,197,148,262,271,-3.96,-5.18,8.71
73703,180,199,145,261,271,-4.39,-5.14,8.47
73803,180,199,149,262,271,-4.28,-5.18,8.63
73903,178,198,148,262,272,-4.24,-5.3,8.71
74003,180,198,148,262,271,-4.28,-5.1,8.59
74103,181,198,149,262,271,-4.16,-5.33,8.67
74203,180,199,148,262,271,-4.31,-5.26,8.75
74303,180,200,148,262,271,-4.31,-5.18,8.63
74403,181,201,149,263,272,-4.24,-5.14,8.87
74503,180,197,149,263,270,-4.12,-5.26,8.24
74603,181,201,148,261,271,-4.31,-5.18,8.79
74703,182,197,151,261,271,-4,-5.1,8.87
74803,181,197,146,261,269,-4.31,-5.14,8.63
74903,181,196,146,257,266,-4.2,-5.22,8.55
75003,179,196,148,256,266,-4.12,-5.3,8.87
75103,179,198,147,258,268,-4.08,-5.18,8.47
75203,179,198,148,257,267,-4.16,-5.26,8.43
75303,178,195,148,257,265,-4.04,-5.22,8.39
75403,179,195,145,260,267,-4.35,-5.22,8.63
75503,178,193,143,256,265,-4.43,-5.14,8.59
75603,171,188,140,248,255,-4.39,-5.14,8.59
75703,171,168,141,248,256,-4.12,-5.22,8.59
75803,170,193,140,247,257,-4.24,-5.14,8.98
75904,178,196,146,259,269,-4.28,-5.18,8.63
76003,178,197,147,260,269,-4.04,-5.18,8.59
76103,170,187,140,247,256,-4.04,-5.14,8.47
76204,169,185,140,247,256,-4.16,-5.26,8.55
76303,169,187,140,247,256,-4.12,-5.3,8.63
76403,168,187,138,247,256,-4.12,-5.22,8.59
76603,170,188,140,247,256,-4.28,-5.18,8.51
76703,169,187,141,247,256,-4.35,-5.18,8.83
76803,169,186,140,247,255,-4.08,-5.22,8.59
76903,169,190,142,248,255,-4.08,-5.3,8.67
77003,171,188,141,247,257,-4.2,-5.14,8.87
77103,167,187,140,247,257,-4.24,-5.22,8.59
77203,169,187,141,248,256,-4.16,-5.22,8.67
77303,171,188,140,248,257,-4.08,-5.14,8.51
77403,171,188,141,247,257,-4.2,-5.26,8.79
77503,171,187,140,248,256,-4.16,-5.14,8.59
77603,171,188,140,248,256,-4.35,-5.14,8.67
77703,171,189,141,248,257,-4.2,-5.3,8.87
77803,168,188,142,246,257,-4.2,-5.14,8.28
77903,174,190,140,247,259,-4.12,-5.33,8.59
78003,172,192,138,250,258,-4,-5.26,8.47
